gmina_name;date;potas
Klwów;01.01.1997;
Kobiele Wielkie;01.01.1997;
Kodrąb;01.01.1997;
Koluszki;01.01.1997;
Koniecpol;01.01.1997;
Końskie;01.01.1997;
Kozłów;01.01.1997;
Krasocin;01.01.1997;
Kroczyce;01.01.1997;
Lelów;01.01.1997;
Lubochnia;01.01.1997;
Łęki Szlacheckie;01.01.1997;
Łopuszno;01.01.1997;
Magnuszew;01.01.1997;
Masłowice;01.01.1997;
Mniów;01.01.1997;
Mniszków;01.01.1997;
Mogielnica;01.01.1997;
Moskorzew;01.01.1997;
Moszczenica;01.01.1997;
Niegowa;01.01.1997;
Nowe Miasto nad Pilicą;01.01.1997;
Nowosolna;01.01.1997;
Odrzywół;01.01.1997;
Ogrodzieniec;01.01.1997;
Opoczno;01.01.1997;
Paradyż;01.01.1997;
Pilica;01.01.1997;
Piotrków Trybunalski;01.01.1997;
Poświętne;01.01.1997;
Promna;01.01.1997;
Przedbórz;01.01.1997;
Przysucha;01.01.1997;
Radoszyce;01.01.1997;
Radzanów;01.01.1997;
Ręczno;01.01.1997;
Rokiciny;01.01.1997;
Rozprza;01.01.1997;
Ruda Maleniecka;01.01.1997;
Rusinów;01.01.1997;
Rzeczyca;01.01.1997;
Sadkowice;01.01.1997;
Secemin;01.01.1997;
Sławno;01.01.1997;
Słupia;01.01.1997;
Słupia Konecka;01.01.1997;
Smyków;01.01.1997;
Stąporków;01.01.1997;
Stromiec;01.01.1997;
Sulejów;01.01.1997;
Szczekociny;01.01.1997;
Tomaszów Mazowiecki miasto;01.01.1997;
Tomaszów Mazowiecki wiejski;01.01.1997;
Tuszyn;01.01.1997;
Ujazd;01.01.1997;
Warka;01.01.1997;
Wielgomłyny;01.01.1997;
Włodowice;01.01.1997;
Włoszczowa;01.01.1997;
Wola Krzysztoporska;01.01.1997;
Wolbórz;01.01.1997;
Wolbrom;01.01.1997;
Wyśmierzyce;01.01.1997;
Zagnańsk;01.01.1997;
Zawiercie;01.01.1997;
Żarnowiec;01.01.1997;
Żarnów;01.01.1997;
Żytno;01.01.1997;
Aleksandrów;01.01.1998;
Andrespol;01.01.1998;
Belsk Duży;01.01.1998;
Będków;01.01.1998;
Białaczów;01.01.1998;
Białobrzegi;01.01.1998;
Bliżyn;01.01.1998;
Błędów;01.01.1998;
Brójce;01.01.1998;
Budziszewice;01.01.1998;
Charsznica;01.01.1998;
Czarnocin;01.01.1998;
Czerniewice;01.01.1998;
Drzewica;01.01.1998;
Fałków;01.01.1998;
Gielniów;01.01.1998;
Głowaczów;01.01.1998;
Gorzkowice;01.01.1998;
Goszczyn;01.01.1998;
Gowarczów;01.01.1998;
Grabica;01.01.1998;
Grabów nad Pilicą;01.01.1998;
Inowłódz;01.01.1998;
Irządze;01.01.1998;
Kluczewsko;01.01.1998;
Klwów;01.01.1998;
Kobiele Wielkie;01.01.1998;
Kodrąb;01.01.1998;
Koluszki;01.01.1998;
Koniecpol;01.01.1998;
Końskie;01.01.1998;
Kozłów;01.01.1998;
Krasocin;01.01.1998;
Kroczyce;01.01.1998;
Lelów;01.01.1998;
Lubochnia;01.01.1998;
Łęki Szlacheckie;01.01.1998;
Łopuszno;01.01.1998;
Magnuszew;01.01.1998;
Masłowice;01.01.1998;
Mniów;01.01.1998;
Mniszków;01.01.1998;
Mogielnica;01.01.1998;
Moskorzew;01.01.1998;
Moszczenica;01.01.1998;
Niegowa;01.01.1998;
Nowe Miasto nad Pilicą;01.01.1998;
Nowosolna;01.01.1998;
Odrzywół;01.01.1998;
Ogrodzieniec;01.01.1998;
Opoczno;01.01.1998;
Paradyż;01.01.1998;
Pilica;01.01.1998;
Piotrków Trybunalski;01.01.1998;
Poświętne;01.01.1998;
Promna;01.01.1998;
Przedbórz;01.01.1998;
Przysucha;01.01.1998;
Radoszyce;01.01.1998;
Radzanów;01.01.1998;
Ręczno;01.01.1998;
Rokiciny;01.01.1998;
Rozprza;01.01.1998;
Ruda Maleniecka;01.01.1998;
Rusinów;01.01.1998;
Rzeczyca;01.01.1998;
Sadkowice;01.01.1998;
Secemin;01.01.1998;
Sławno;01.01.1998;
Słupia;01.01.1998;
Słupia Konecka;01.01.1998;
Smyków;01.01.1998;
Stąporków;01.01.1998;
Stromiec;01.01.1998;
Sulejów;01.01.1998;
Szczekociny;01.01.1998;
Tomaszów Mazowiecki miasto;01.01.1998;
Tomaszów Mazowiecki wiejski;01.01.1998;
Tuszyn;01.01.1998;
Ujazd;01.01.1998;
Warka;01.01.1998;
Wielgomłyny;01.01.1998;
Włodowice;01.01.1998;
Włoszczowa;01.01.1998;
Wola Krzysztoporska;01.01.1998;
Wolbórz;01.01.1998;
Wolbrom;01.01.1998;
Wyśmierzyce;01.01.1998;
Zagnańsk;01.01.1998;
Zawiercie;01.01.1998;
Żarnowiec;01.01.1998;
Żarnów;01.01.1998;
Żytno;01.01.1998;
Aleksandrów;01.01.1999;
Andrespol;01.01.1999;
Belsk Duży;01.01.1999;
Będków;01.01.1999;
Białaczów;01.01.1999;
Białobrzegi;01.01.1999;
Bliżyn;01.01.1999;
Błędów;01.01.1999;
Brójce;01.01.1999;
Budziszewice;01.01.1999;
Charsznica;01.01.1999;
Czarnocin;01.01.1999;
Czerniewice;01.01.1999;
Drzewica;01.01.1999;
Fałków;01.01.1999;
Gielniów;01.01.1999;
Głowaczów;01.01.1999;
Gorzkowice;01.01.1999;
Goszczyn;01.01.1999;
Gowarczów;01.01.1999;
Grabica;01.01.1999;
Grabów nad Pilicą;01.01.1999;
Inowłódz;01.01.1999;
Irządze;01.01.1999;
Kluczewsko;01.01.1999;
Klwów;01.01.1999;
Kobiele Wielkie;01.01.1999;
Kodrąb;01.01.1999;
Koluszki;01.01.1999;
Koniecpol;01.01.1999;
Końskie;01.01.1999;
Kozłów;01.01.1999;
Krasocin;01.01.1999;
Kroczyce;01.01.1999;
Lelów;01.01.1999;
Lubochnia;01.01.1999;
Łęki Szlacheckie;01.01.1999;
Łopuszno;01.01.1999;
Magnuszew;01.01.1999;
Masłowice;01.01.1999;
Mniów;01.01.1999;
Mniszków;01.01.1999;
Mogielnica;01.01.1999;
Moskorzew;01.01.1999;
Moszczenica;01.01.1999;
Niegowa;01.01.1999;
Nowe Miasto nad Pilicą;01.01.1999;
Nowosolna;01.01.1999;
Odrzywół;01.01.1999;
Ogrodzieniec;01.01.1999;
Opoczno;01.01.1999;
Paradyż;01.01.1999;
Pilica;01.01.1999;
Piotrków Trybunalski;01.01.1999;
Poświętne;01.01.1999;
Promna;01.01.1999;
Przedbórz;01.01.1999;
Przysucha;01.01.1999;
Radoszyce;01.01.1999;
Radzanów;01.01.1999;
Ręczno;01.01.1999;
Rokiciny;01.01.1999;
Rozprza;01.01.1999;
Ruda Maleniecka;01.01.1999;
Rusinów;01.01.1999;
Rzeczyca;01.01.1999;
Sadkowice;01.01.1999;
Secemin;01.01.1999;
Sławno;01.01.1999;
Słupia;01.01.1999;
Słupia Konecka;01.01.1999;
Smyków;01.01.1999;
Stąporków;01.01.1999;
Stromiec;01.01.1999;
Sulejów;01.01.1999;
Szczekociny;01.01.1999;
Tomaszów Mazowiecki miasto;01.01.1999;
Tomaszów Mazowiecki wiejski;01.01.1999;
Tuszyn;01.01.1999;
Ujazd;01.01.1999;
Warka;01.01.1999;
Wielgomłyny;01.01.1999;
Włodowice;01.01.1999;
Włoszczowa;01.01.1999;
Wola Krzysztoporska;01.01.1999;
Wolbórz;01.01.1999;
Wolbrom;01.01.1999;
Wyśmierzyce;01.01.1999;
Zagnańsk;01.01.1999;
Zawiercie;01.01.1999;
Żarnowiec;01.01.1999;
Żarnów;01.01.1999;
Żytno;01.01.1999;
Aleksandrów;01.01.2000;
Andrespol;01.01.2000;
Belsk Duży;01.01.2000;
Będków;01.01.2000;
Białaczów;01.01.2000;
Białobrzegi;01.01.2000;
Bliżyn;01.01.2000;
Błędów;01.01.2000;
Brójce;01.01.2000;
Budziszewice;01.01.2000;
Charsznica;01.01.2000;
Czarnocin;01.01.2000;
Czerniewice;01.01.2000;
Drzewica;01.01.2000;
Fałków;01.01.2000;
Gielniów;01.01.2000;
Głowaczów;01.01.2000;
Gorzkowice;01.01.2000;
Goszczyn;01.01.2000;
Gowarczów;01.01.2000;
Grabica;01.01.2000;
Grabów nad Pilicą;01.01.2000;
Inowłódz;01.01.2000;
Irządze;01.01.2000;
Kluczewsko;01.01.2000;
Klwów;01.01.2000;
Kobiele Wielkie;01.01.2000;
Kodrąb;01.01.2000;
Koluszki;01.01.2000;
Koniecpol;01.01.2000;
Końskie;01.01.2000;
Kozłów;01.01.2000;
Krasocin;01.01.2000;
Kroczyce;01.01.2000;
Lelów;01.01.2000;
Lubochnia;01.01.2000;
Łęki Szlacheckie;01.01.2000;
Łopuszno;01.01.2000;
Magnuszew;01.01.2000;
Masłowice;01.01.2000;
Mniów;01.01.2000;
Mniszków;01.01.2000;
Mogielnica;01.01.2000;
Moskorzew;01.01.2000;
Moszczenica;01.01.2000;
Niegowa;01.01.2000;
Nowe Miasto nad Pilicą;01.01.2000;
Nowosolna;01.01.2000;
Odrzywół;01.01.2000;
Ogrodzieniec;01.01.2000;
Opoczno;01.01.2000;
Paradyż;01.01.2000;
Pilica;01.01.2000;
Piotrków Trybunalski;01.01.2000;
Poświętne;01.01.2000;
Promna;01.01.2000;
Przedbórz;01.01.2000;
Przysucha;01.01.2000;
Radoszyce;01.01.2000;
Radzanów;01.01.2000;
Ręczno;01.01.2000;
Rokiciny;01.01.2000;
Rozprza;01.01.2000;
Ruda Maleniecka;01.01.2000;
Rusinów;01.01.2000;
Rzeczyca;01.01.2000;
Sadkowice;01.01.2000;
Secemin;01.01.2000;
Sławno;01.01.2000;
Słupia;01.01.2000;
Słupia Konecka;01.01.2000;
Smyków;01.01.2000;
Stąporków;01.01.2000;
Stromiec;01.01.2000;
Sulejów;01.01.2000;
Szczekociny;01.01.2000;
Tomaszów Mazowiecki miasto;01.01.2000;
Tomaszów Mazowiecki wiejski;01.01.2000;
Tuszyn;01.01.2000;
Ujazd;01.01.2000;
Warka;01.01.2000;
Wielgomłyny;01.01.2000;
Włodowice;01.01.2000;
Włoszczowa;01.01.2000;
Wola Krzysztoporska;01.01.2000;
Wolbórz;01.01.2000;
Wolbrom;01.01.2000;
Wyśmierzyce;01.01.2000;
Zagnańsk;01.01.2000;
Zawiercie;01.01.2000;
Żarnowiec;01.01.2000;
Żarnów;01.01.2000;
Żytno;01.01.2000;
Aleksandrów;01.01.2001;
Andrespol;01.01.2001;
Belsk Duży;01.01.2001;
Będków;01.01.2001;
Białaczów;01.01.2001;
Białobrzegi;01.01.2001;
Bliżyn;01.01.2001;
Błędów;01.01.2001;
Brójce;01.01.2001;
Budziszewice;01.01.2001;
Charsznica;01.01.2001;
Czarnocin;01.01.2001;
Czerniewice;01.01.2001;
Drzewica;01.01.2001;
Fałków;01.01.2001;
Gielniów;01.01.2001;
Głowaczów;01.01.2001;
Gorzkowice;01.01.2001;
Goszczyn;01.01.2001;
Gowarczów;01.01.2001;
Grabica;01.01.2001;
Grabów nad Pilicą;01.01.2001;
Inowłódz;01.01.2001;
Irządze;01.01.2001;
Kluczewsko;01.01.2001;
Klwów;01.01.2001;
Kobiele Wielkie;01.01.2001;
Kodrąb;01.01.2001;
Koluszki;01.01.2001;
Koniecpol;01.01.2001;
Końskie;01.01.2001;
Kozłów;01.01.2001;
Krasocin;01.01.2001;
Kroczyce;01.01.2001;
Lelów;01.01.2001;
Lubochnia;01.01.2001;
Łęki Szlacheckie;01.01.2001;
Łopuszno;01.01.2001;
Magnuszew;01.01.2001;
Masłowice;01.01.2001;
Mniów;01.01.2001;
Mniszków;01.01.2001;
Mogielnica;01.01.2001;
Moskorzew;01.01.2001;
Moszczenica;01.01.2001;
Niegowa;01.01.2001;
Nowe Miasto nad Pilicą;01.01.2001;
Nowosolna;01.01.2001;
Odrzywół;01.01.2001;
Ogrodzieniec;01.01.2001;
Opoczno;01.01.2001;
Paradyż;01.01.2001;
Pilica;01.01.2001;
Piotrków Trybunalski;01.01.2001;
Poświętne;01.01.2001;
Promna;01.01.2001;
